"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
2;"U1";"SOT-363";1;"NMOS-DUAL";;;
3;"G***";"Symbol-Front-Temperature";1;"LOGO";;;
4;"JP1,JP2";"SMD_JUMPER_3_PAD_TRACE";2;"SMD_JUMPER_3_PAD_TRACE";;;
5;",,,,,,,,,,";"buzzardLabel";11;"";;;
6;"U3";"SOT-23-5";1;"SE5218";;;
7;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
8;"R4,R1,R2,R3";"0603R";4;"10k";;;
9;"JP3";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
10;"G***";"Symbol-Front-Humidity";1;"LOGO";;;
11;"C1";"0603C";1;"0.1uF";;;
12;"G***";"Logo-Front-Soldered-3.5mm";1;"LOGO";;;
13;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
14;"K1,K3";"easyC-connector";2;"easyC-SMD";;;
15;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
16;"U2";"SHTC3";1;"SHTC3";;;
17;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
18;"C3,C2";"0603C";2;"2.2uF";;;
19;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
20;"K2";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
21;"REF**";"Symbol-Front-I2C-ADDR-Field";1;"Symbol-Front-I2C-ADDR-Field";;;
22;"JP4";"SMD_JUMPER";1;"SMD_JUMPER";;;
